model,parameter_mu,equilibrium,derivative_value,stability,branch_status,warning
saddle_node_normal_form,-2.0,,,no_real_equilibrium,equilibrium_absent,"For mu below zero, the saddle-node normal form has no real equilibrium."
saddle_node_normal_form,-1.9,,,no_real_equilibrium,equilibrium_absent,"For mu below zero, the saddle-node normal form has no real equilibrium."
saddle_node_normal_form,-1.8,,,no_real_equilibrium,equilibrium_absent,"For mu below zero, the saddle-node normal form has no real equilibrium."
saddle_node_normal_form,-1.7,,,no_real_equilibrium,equilibrium_absent,"For mu below zero, the saddle-node normal form has no real equilibrium."
saddle_node_normal_form,-1.6,,,no_real_equilibrium,equilibrium_absent,"For mu below zero, the saddle-node normal form has no real equilibrium."
saddle_node_normal_form,-1.5,,,no_real_equilibrium,equilibrium_absent,"For mu below zero, the saddle-node normal form has no real equilibrium."
saddle_node_normal_form,-1.4,,,no_real_equilibrium,equilibrium_absent,"For mu below zero, the saddle-node normal form has no real equilibrium."
saddle_node_normal_form,-1.3,,,no_real_equilibrium,equilibrium_absent,"For mu below zero, the saddle-node normal form has no real equilibrium."
saddle_node_normal_form,-1.2,,,no_real_equilibrium,equilibrium_absent,"For mu below zero, the saddle-node normal form has no real equilibrium."
saddle_node_normal_form,-1.1,,,no_real_equilibrium,equilibrium_absent,"For mu below zero, the saddle-node normal form has no real equilibrium."
saddle_node_normal_form,-1.0,,,no_real_equilibrium,equilibrium_absent,"For mu below zero, the saddle-node normal form has no real equilibrium."
saddle_node_normal_form,-0.9,,,no_real_equilibrium,equilibrium_absent,"For mu below zero, the saddle-node normal form has no real equilibrium."
saddle_node_normal_form,-0.8,,,no_real_equilibrium,equilibrium_absent,"For mu below zero, the saddle-node normal form has no real equilibrium."
saddle_node_normal_form,-0.7,,,no_real_equilibrium,equilibrium_absent,"For mu below zero, the saddle-node normal form has no real equilibrium."
saddle_node_normal_form,-0.6,,,no_real_equilibrium,equilibrium_absent,"For mu below zero, the saddle-node normal form has no real equilibrium."
saddle_node_normal_form,-0.5,,,no_real_equilibrium,equilibrium_absent,"For mu below zero, the saddle-node normal form has no real equilibrium."
saddle_node_normal_form,-0.4,,,no_real_equilibrium,equilibrium_absent,"For mu below zero, the saddle-node normal form has no real equilibrium."
