x,y,left_slope,right_slope,slope_change,level_jump,flag
0.0,2.0,,,,,ok
0.25,2.125,0.5,0.5,0.0,0.125,ok
0.5,2.25,0.5,0.5,0.0,0.125,ok
0.75,2.375,0.5,0.5,0.0,0.125,ok
1.0,2.5,0.5,0.5,0.0,0.125,ok
1.25,2.625,0.5,0.5,0.0,0.125,ok
1.5,2.75,0.5,0.5,0.0,0.125,ok
1.75,2.875,0.5,0.5,0.0,0.125,ok
2.0,3.0,0.5,0.5,0.0,0.125,ok
2.25,3.125,0.5,0.5,0.0,0.125,ok
2.5,3.25,0.5,0.5,0.0,0.125,ok
2.75,3.375,0.5,0.5,0.0,0.125,ok
3.0,3.5,0.5,0.5,0.0,0.125,ok
3.25,3.625,0.5,0.5,0.0,0.125,ok
3.5,3.75,0.5,0.5,0.0,0.125,ok
3.75,3.875,0.5,0.5,0.0,0.125,ok
4.0,4.0,0.5,0.5,0.0,0.125,ok
4.25,4.125,0.5,0.5,0.0,0.125,ok
4.5,4.25,0.5,0.5,0.0,0.125,ok
4.75,4.375,0.5,6.5,6.0,0.125,possible_slope_break
5.0,6.0,6.5,1.3999999999999986,5.100000000000001,1.625,level_and_slope_break
5.25,6.35,1.3999999999999986,1.4000000000000021,3.552713678800501e-15,0.34999999999999964,ok
5.5,6.7,1.4000000000000021,1.3999999999999986,3.552713678800501e-15,0.35000000000000053,ok
5.75,7.05,1.3999999999999986,1.4000000000000021,3.552713678800501e-15,0.34999999999999964,ok
6.0,7.4,1.4000000000000021,1.3999999999999986,3.552713678800501e-15,0.35000000000000053,ok
6.25,7.75,1.3999999999999986,1.3999999999999986,0.0,0.34999999999999964,ok
6.5,8.1,1.3999999999999986,1.3999999999999986,0.0,0.34999999999999964,ok
6.75,8.45,1.3999999999999986,1.4000000000000057,7.105427357601002e-15,0.34999999999999964,ok
7.0,8.8,1.4000000000000057,1.3999999999999986,7.105427357601002e-15,0.3500000000000014,ok
7.25,9.15,1.3999999999999986,1.3999999999999986,0.0,0.34999999999999964,ok
7.5,9.5,1.3999999999999986,1.3999999999999986,0.0,0.34999999999999964,ok
7.75,9.85,1.3999999999999986,1.3999999999999986,0.0,0.34999999999999964,ok
8.0,10.2,1.3999999999999986,1.4000000000000057,7.105427357601002e-15,0.34999999999999964,ok
8.25,10.55,1.4000000000000057,1.3999999999999915,1.4210854715202004e-14,0.3500000000000014,ok
8.5,10.899999999999999,1.3999999999999915,1.4000000000000057,1.4210854715202004e-14,0.34999999999999787,ok
8.75,11.25,1.4000000000000057,1.3999999999999986,7.105427357601002e-15,0.3500000000000014,ok
9.0,11.6,1.3999999999999986,1.3999999999999986,0.0,0.34999999999999964,ok
9.25,11.95,1.3999999999999986,1.4000000000000057,7.105427357601002e-15,0.34999999999999964,ok
9.5,12.3,1.4000000000000057,1.3999999999999915,1.4210854715202004e-14,0.3500000000000014,ok
9.75,12.649999999999999,1.3999999999999915,1.4000000000000057,1.4210854715202004e-14,0.34999999999999787,ok
10.0,13.0,,,,,ok
