step,time,center_value,total_mass,max_value,left_boundary,right_boundary,diffusion_ratio
0,0,1,1,1,0,0,0.016
1,0.2,0.968,1,0.968,0,0,0.016
2,0.4,0.937536,1,0.937536,0,0,0.016
3,0.6,0.908526,1,0.908526,0,0,0.016
4,0.8,0.880893,1,0.880893,0,0,0.016
5,1,0.854563,1,0.854563,0,0,0.016
6,1.2,0.829469,1,0.829469,0,0,0.016
7,1.4,0.805544,1,0.805544,0,0,0.016
8,1.6,0.782727,1,0.782727,0,0,0.016
9,1.8,0.760961,1,0.760961,0,0,0.016
10,2,0.74019,1,0.74019,0,0,0.016
11,2.2,0.720362,1,0.720362,0,0,0.016
12,2.4,0.701429,1,0.701429,0,0,0.016
13,2.6,0.683344,1,0.683344,0,0,0.016
14,2.8,0.666064,1,0.666064,0,0,0.016
15,3,0.649547,1,0.649547,0,0,0.016
16,3.2,0.633754,1,0.633754,0,0,0.016
17,3.4,0.618649,1,0.618649,0,0,0.016
18,3.6,0.604196,1,0.604196,0,0,0.016
19,3.8,0.590362,1,0.590362,0,0,0.016
20,4,0.577117,1,0.577117,0,0,0.016
21,4.2,0.56443,1,0.56443,0,0,0.016
22,4.4,0.552274,1,0.552274,0,0,0.016
23,4.6,0.540622,1,0.540622,0,0,0.016
24,4.8,0.52945,1,0.52945,0,0,0.016
25,5,0.518733,1,0.518733,0,0,0.016
26,5.2,0.50845,1,0.50845,0,0,0.016
27,5.4,0.498578,1,0.498578,0,0,0.016
28,5.6,0.489099,1,0.489099,0,0,0.016
29,5.8,0.479992,1,0.479992,0,0,0.016
30,6,0.47124,1,0.47124,0,0,0.016
31,6.2,0.462827,1,0.462827,0,0,0.016
32,6.4,0.454735,1,0.454735,0,0,0.016
33,6.6,0.446949,1,0.446949,0,0,0.016
34,6.8,0.439456,1,0.439456,0,0,0.016
35,7,0.43224,1,0.43224,0,0,0.016
36,7.2,0.42529,1,0.42529,0,0,0.016
37,7.4,0.418593,1,0.418593,0,0,0.016
38,7.6,0.412136,1,0.412136,0,0,0.016
39,7.8,0.40591,1,0.40591,0,0,0.016
40,8,0.399903,1,0.399903,0,0,0.016
41,8.2,0.394106,1,0.394106,0,0,0.016
42,8.4,0.388508,1,0.388508,0,0,0.016
43,8.6,0.383102,1,0.383102,0,0,0.016
44,8.8,0.377878,1,0.377878,0,0,0.016
45,9,0.372828,1,0.372828,0,0,0.016
46,9.2,0.367945,1,0.367945,0,0,0.016
47,9.4,0.363221,1,0.363221,0,0,0.016
48,9.6,0.358649,1,0.358649,0,0,0.016
49,9.8,0.354223,1,0.354223,0,0,0.016
50,10,0.349937,1,0.349937,0,0,0.016
51,10.2,0.345784,1,0.345784,0,0,0.016
52,10.4,0.341758,1,0.341758,0,0,0.016
53,10.6,0.337855,1,0.337855,0,0,0.016
54,10.8,0.334069,1,0.334069,0,0,0.016
55,11,0.330396,1,0.330396,0,0,0.016
56,11.2,0.32683,1,0.32683,0,0,0.016
57,11.4,0.323368,1,0.323368,0,0,0.016
58,11.6,0.320005,1,0.320005,0,0,0.016
59,11.8,0.316736,1,0.316736,0,0,0.016
60,12,0.313559,1,0.313559,0,0,0.016
61,12.2,0.31047,1,0.31047,0,0,0.016
62,12.4,0.307464,1,0.307464,0,0,0.016
63,12.6,0.30454,1,0.30454,0,0,0.016
64,12.8,0.301693,1,0.301693,0,0,0.016
65,13,0.298921,1,0.298921,0,0,0.016
66,13.2,0.29622,1,0.29622,0,0,0.016
67,13.4,0.293589,1,0.293589,0,0,0.016
68,13.6,0.291024,1,0.291024,0,0,0.016
69,13.8,0.288523,1,0.288523,0,0,0.016
70,14,0.286084,1,0.286084,0,0,0.016
71,14.2,0.283704,1,0.283704,0,0,0.016
72,14.4,0.281381,1,0.281381,0,0,0.016
73,14.6,0.279114,1,0.279114,0,0,0.016
74,14.8,0.276899,1,0.276899,0,0,0.016
