step,time,center_value,total_mass,max_value,left_boundary,right_boundary,diffusion_ratio,stability_status,warning
0,0.0,1.0,1.0,1.0,0.0,0.0,0.016,stable_for_basic_explicit_1d_diffusion,"Finite difference results depend on grid spacing, time step, stencil, boundary condition, stability, and convergence checks."
1,0.2,0.968,1.0,0.968,0.0,0.0,0.016,stable_for_basic_explicit_1d_diffusion,"Finite difference results depend on grid spacing, time step, stencil, boundary condition, stability, and convergence checks."
2,0.4,0.9375359999999999,0.9999999999999999,0.9375359999999999,0.0,0.0,0.016,stable_for_basic_explicit_1d_diffusion,"Finite difference results depend on grid spacing, time step, stencil, boundary condition, stability, and convergence checks."
3,0.6000000000000001,0.9085260799999999,0.9999999999999999,0.9085260799999999,0.0,0.0,0.016,stable_for_basic_explicit_1d_diffusion,"Finite difference results depend on grid spacing, time step, stencil, boundary condition, stability, and convergence checks."
4,0.8,0.8808929075199999,0.9999999999999999,0.8808929075199999,0.0,0.0,0.016,stable_for_basic_explicit_1d_diffusion,"Finite difference results depend on grid spacing, time step, stencil, boundary condition, stability, and convergence checks."
5,1.0,0.854563473358848,1.0,0.854563473358848,0.0,0.0,0.016,stable_for_basic_explicit_1d_diffusion,"Finite difference results depend on grid spacing, time step, stencil, boundary condition, stability, and convergence checks."
6,1.2000000000000002,0.8294688428552356,1.0,0.8294688428552356,0.0,0.0,0.016,stable_for_basic_explicit_1d_diffusion,"Finite difference results depend on grid spacing, time step, stencil, boundary condition, stability, and convergence checks."
7,1.4000000000000001,0.8055439217295706,1.0,0.8055439217295706,0.0,0.0,0.016,stable_for_basic_explicit_1d_diffusion,"Finite difference results depend on grid spacing, time step, stencil, boundary condition, stability, and convergence checks."
8,1.6,0.7827272356407327,1.0,0.7827272356407327,0.0,0.0,0.016,stable_for_basic_explicit_1d_diffusion,"Finite difference results depend on grid spacing, time step, stencil, boundary condition, stability, and convergence checks."
9,1.8,0.7609607226436524,0.9999999999999999,0.7609607226436524,0.0,0.0,0.016,stable_for_basic_explicit_1d_diffusion,"Finite difference results depend on grid spacing, time step, stencil, boundary condition, stability, and convergence checks."
10,2.0,0.7401895377824524,1.0,0.7401895377824524,0.0,0.0,0.016,stable_for_basic_explicit_1d_diffusion,"Finite difference results depend on grid spacing, time step, stencil, boundary condition, stability, and convergence checks."
11,2.2,0.7203618690997369,0.9999999999999999,0.7203618690997369,0.0,0.0,0.016,stable_for_basic_explicit_1d_diffusion,"Finite difference results depend on grid spacing, time step, stencil, boundary condition, stability, and convergence checks."
12,2.4000000000000004,0.701428764385701,0.9999999999999999,0.701428764385701,0.0,0.0,0.016,stable_for_basic_explicit_1d_diffusion,"Finite difference results depend on grid spacing, time step, stencil, boundary condition, stability, and convergence checks."
13,2.6,0.6833439680312092,1.0,0.6833439680312092,0.0,0.0,0.016,stable_for_basic_explicit_1d_diffusion,"Finite difference results depend on grid spacing, time step, stencil, boundary condition, stability, and convergence checks."
14,2.8000000000000003,0.6660637673870339,1.0,0.6660637673870339,0.0,0.0,0.016,stable_for_basic_explicit_1d_diffusion,"Finite difference results depend on grid spacing, time step, stencil, boundary condition, stability, and convergence checks."
15,3.0,0.64954684806719,1.0,0.64954684806719,0.0,0.0,0.016,stable_for_basic_explicit_1d_diffusion,"Finite difference results depend on grid spacing, time step, stencil, boundary condition, stability, and convergence checks."
16,3.2,0.6337541576678926,1.0,0.6337541576678926,0.0,0.0,0.016,stable_for_basic_explicit_1d_diffusion,"Finite difference results depend on grid spacing, time step, stencil, boundary condition, stability, and convergence checks."
17,3.4000000000000004,0.6186487774052307,1.0,0.6186487774052307,0.0,0.0,0.016,stable_for_basic_explicit_1d_diffusion,"Finite difference results depend on grid spacing, time step, stencil, boundary condition, stability, and convergence checks."
18,3.6,0.6041958012043173,1.0,0.6041958012043173,0.0,0.0,0.016,stable_for_basic_explicit_1d_diffusion,"Finite difference results depend on grid spacing, time step, stencil, boundary condition, stability, and convergence checks."
19,3.8000000000000003,0.5903622218005526,1.0,0.5903622218005526,0.0,0.0,0.016,stable_for_basic_explicit_1d_diffusion,"Finite difference results depend on grid spacing, time step, stencil, boundary condition, stability, and convergence checks."
20,4.0,0.5771168234398443,1.0,0.5771168234398443,0.0,0.0,0.016,stable_for_basic_explicit_1d_diffusion,"Finite difference results depend on grid spacing, time step, stencil, boundary condition, stability, and convergence checks."
21,4.2,0.5644300807892473,1.0,0.5644300807892473,0.0,0.0,0.016,stable_for_basic_explicit_1d_diffusion,"Finite difference results depend on grid spacing, time step, stencil, boundary condition, stability, and convergence checks."
22,4.4,0.5522740636926387,1.0,0.5522740636926387,0.0,0.0,0.016,stable_for_basic_explicit_1d_diffusion,"Finite difference results depend on grid spacing, time step, stencil, boundary condition, stability, and convergence checks."
23,4.6000000000000005,0.5406223474277896,1.0,0.5406223474277896,0.0,0.0,0.016,stable_for_basic_explicit_1d_diffusion,"Finite difference results depend on grid spacing, time step, stencil, boundary condition, stability, and convergence checks."
24,4.800000000000001,0.5294499281416496,1.0,0.5294499281416496,0.0,0.0,0.016,stable_for_basic_explicit_1d_diffusion,"Finite difference results depend on grid spacing, time step, stencil, boundary condition, stability, and convergence checks."
25,5.0,0.5187331431598743,1.0,0.5187331431598743,0.0,0.0,0.016,stable_for_basic_explicit_1d_diffusion,"Finite difference results depend on grid spacing, time step, stencil, boundary condition, stability, and convergence checks."
26,5.2,0.5084495958846952,1.0,0.5084495958846952,0.0,0.0,0.016,stable_for_basic_explicit_1d_diffusion,"Finite difference results depend on grid spacing, time step, stencil, boundary condition, stability, and convergence checks."
27,5.4,0.4985780850122111,1.0,0.4985780850122111,0.0,0.0,0.016,stable_for_basic_explicit_1d_diffusion,"Finite difference results depend on grid spacing, time step, stencil, boundary condition, stability, and convergence checks."
28,5.6000000000000005,0.48909853781614654,1.0000000000000002,0.48909853781614654,0.0,0.0,0.016,stable_for_basic_explicit_1d_diffusion,"Finite difference results depend on grid spacing, time step, stencil, boundary condition, stability, and convergence checks."
29,5.800000000000001,0.4799919472601266,1.0,0.4799919472601266,0.0,0.0,0.016,stable_for_basic_explicit_1d_diffusion,"Finite difference results depend on grid spacing, time step, stencil, boundary condition, stability, and convergence checks."
30,6.0,0.471240312714629,1.0,0.471240312714629,0.0,0.0,0.016,stable_for_basic_explicit_1d_diffusion,"Finite difference results depend on grid spacing, time step, stencil, boundary condition, stability, and convergence checks."
31,6.2,0.4628265840680341,1.0,0.4628265840680341,0.0,0.0,0.016,stable_for_basic_explicit_1d_diffusion,"Finite difference results depend on grid spacing, time step, stencil, boundary condition, stability, and convergence checks."
32,6.4,0.4547346090336662,1.0,0.4547346090336662,0.0,0.0,0.016,stable_for_basic_explicit_1d_diffusion,"Finite difference results depend on grid spacing, time step, stencil, boundary condition, stability, and convergence checks."
33,6.6000000000000005,0.44694908346643997,1.0,0.44694908346643997,0.0,0.0,0.016,stable_for_basic_explicit_1d_diffusion,"Finite difference results depend on grid spacing, time step, stencil, boundary condition, stability, and convergence checks."
34,6.800000000000001,0.4394555045137514,1.0,0.4394555045137514,0.0,0.0,0.016,stable_for_basic_explicit_1d_diffusion,"Finite difference results depend on grid spacing, time step, stencil, boundary condition, stability, and convergence checks."
35,7.0,0.43224012643561427,1.0,0.43224012643561427,0.0,0.0,0.016,stable_for_basic_explicit_1d_diffusion,"Finite difference results depend on grid spacing, time step, stencil, boundary condition, stability, and convergence checks."
36,7.2,0.4252899189387889,1.0,0.4252899189387889,0.0,0.0,0.016,stable_for_basic_explicit_1d_diffusion,"Finite difference results depend on grid spacing, time step, stencil, boundary condition, stability, and convergence checks."
37,7.4,0.4185925278788141,1.0,0.4185925278788141,0.0,0.0,0.016,stable_for_basic_explicit_1d_diffusion,"Finite difference results depend on grid spacing, time step, stencil, boundary condition, stability, and convergence checks."
38,7.6000000000000005,0.41213623819246753,0.9999999999999999,0.41213623819246753,0.0,0.0,0.016,stable_for_basic_explicit_1d_diffusion,"Finite difference results depend on grid spacing, time step, stencil, boundary condition, stability, and convergence checks."
39,7.800000000000001,0.40590993893128463,0.9999999999999999,0.40590993893128463,0.0,0.0,0.016,stable_for_basic_explicit_1d_diffusion,"Finite difference results depend on grid spacing, time step, stencil, boundary condition, stability, and convergence checks."
40,8.0,0.3999030902743841,1.0,0.3999030902743841,0.0,0.0,0.016,stable_for_basic_explicit_1d_diffusion,"Finite difference results depend on grid spacing, time step, stencil, boundary condition, stability, and convergence checks."
41,8.200000000000001,0.3941056924060149,1.0,0.3941056924060149,0.0,0.0,0.016,stable_for_basic_explicit_1d_diffusion,"Finite difference results depend on grid spacing, time step, stencil, boundary condition, stability, and convergence checks."
42,8.4,0.38850825614997847,1.0,0.38850825614997847,0.0,0.0,0.016,stable_for_basic_explicit_1d_diffusion,"Finite difference results depend on grid spacing, time step, stencil, boundary condition, stability, and convergence checks."
43,8.6,0.38310177525941796,1.0,0.38310177525941796,0.0,0.0,0.016,stable_for_basic_explicit_1d_diffusion,"Finite difference results depend on grid spacing, time step, stencil, boundary condition, stability, and convergence checks."
44,8.8,0.3778777002664275,1.0,0.3778777002664275,0.0,0.0,0.016,stable_for_basic_explicit_1d_diffusion,"Finite difference results depend on grid spacing, time step, stencil, boundary condition, stability, and convergence checks."
45,9.0,0.372827913801542,1.0,0.372827913801542,0.0,0.0,0.016,stable_for_basic_explicit_1d_diffusion,"Finite difference results depend on grid spacing, time step, stencil, boundary condition, stability, and convergence checks."
