"x","model","value"
0,"linear_growth",10
0.5,"linear_growth",11
1,"linear_growth",12
1.5,"linear_growth",13
2,"linear_growth",14
2.5,"linear_growth",15
3,"linear_growth",16
3.5,"linear_growth",17
4,"linear_growth",18
4.5,"linear_growth",19
5,"linear_growth",20
5.5,"linear_growth",21
6,"linear_growth",22
6.5,"linear_growth",23
7,"linear_growth",24
7.5,"linear_growth",25
8,"linear_growth",26
8.5,"linear_growth",27
9,"linear_growth",28
9.5,"linear_growth",29
10,"linear_growth",30
0,"exponential_growth",10
0.5,"exponential_growth",10.9417428370521
1,"exponential_growth",11.9721736312181
1.5,"exponential_growth",13.0996445073325
2,"exponential_growth",14.3332941456034
2.5,"exponential_growth",15.6831218549017
3,"exponential_growth",17.1600686218486
3.5,"exponential_growth",18.7761057926434
4,"exponential_growth",20.5443321064389
4.5,"exponential_growth",22.4790798667647
5,"exponential_growth",24.5960311115695
5.5,"exponential_growth",26.9123447234926
6,"exponential_growth",29.4467955106552
6.5,"exponential_growth",32.219926385285
7,"exponential_growth",35.2542148736538
7.5,"exponential_growth",38.5742553069697
8,"exponential_growth",42.2069581699655
8.5,"exponential_growth",46.1817682229978
9,"exponential_growth",50.5309031656387
9.5,"exponential_growth",55.28961477624
10,"exponential_growth",60.4964746441294
0,"logistic_growth",2.29773699100256
0.5,"logistic_growth",3.30859783887041
1,"logistic_growth",4.74258731775668
1.5,"logistic_growth",6.75466911396291
2,"logistic_growth",9.53494648991095
2.5,"logistic_growth",13.2964240197829
3,"logistic_growth",18.2425523806356
3.5,"logistic_growth",24.5085013132372
4,"logistic_growth",32.0821300824607
4.5,"logistic_growth",40.733340004593
5,"logistic_growth",50
5.5,"logistic_growth",59.266659995407
6,"logistic_growth",67.9178699175393
6.5,"logistic_growth",75.4914986867628
7,"logistic_growth",81.7574476193644
7.5,"logistic_growth",86.7035759802171
8,"logistic_growth",90.4650535100891
8.5,"logistic_growth",93.2453308860371
9,"logistic_growth",95.2574126822433
9.5,"logistic_growth",96.6914021611296
10,"logistic_growth",97.7022630089974
0,"threshold_response",20
0.5,"threshold_response",20
1,"threshold_response",20
1.5,"threshold_response",20
2,"threshold_response",20
2.5,"threshold_response",20
3,"threshold_response",20
3.5,"threshold_response",20
4,"threshold_response",20
4.5,"threshold_response",20
5,"threshold_response",80
5.5,"threshold_response",80
6,"threshold_response",80
6.5,"threshold_response",80
7,"threshold_response",80
7.5,"threshold_response",80
8,"threshold_response",80
8.5,"threshold_response",80
9,"threshold_response",80
9.5,"threshold_response",80
10,"threshold_response",80
