method,x,h,estimate,exact,absolute_error
forward_difference,5,1,0.601835094278,0.543656365692,0.0581787285857
central_difference,5,1,0.547287997122,0.543656365692,0.00363163143023
richardson_central,5,1,0.543654551345,0.543656365692,1.81434651103e-06
forward_difference,5,0.5,0.571768390975,0.543656365692,0.028112025283
central_difference,5,0.5,0.544562912789,0.543656365692,0.000906547097674
richardson_central,5,0.5,0.543656252396,0.543656365692,1.13295457016e-07
forward_difference,5,0.25,0.557477158416,0.543656365692,0.0138207927247
central_difference,5,0.25,0.543882917495,0.543656365692,0.000226551802826
richardson_central,5,0.25,0.543656358612,0.543656365692,7.07938541122e-09
forward_difference,5,0.125,0.550509056854,0.543656365692,0.00685269116264
central_difference,5,0.125,0.543712998333,0.543656365692,5.66326411674e-05
richardson_central,5,0.125,0.543656365249,0.543656365692,4.42441971948e-10
forward_difference,5,0.0625,0.547068420049,0.543656365692,0.00341205435714
central_difference,5,0.0625,0.54367052352,0.543656365692,1.41578284604e-05
richardson_central,5,0.0625,0.543656365664,0.543656365692,2.76395573096e-11
forward_difference,5,0.03125,0.545358836801,0.543656365692,0.00170247110955
central_difference,5,0.03125,0.543659905128,0.543656365692,3.53943638542e-06
richardson_central,5,0.03125,0.54365636569,0.543656365692,1.72128977738e-12
