"h","epsilon","forward_inside","central_inside"
1,0.1,TRUE,TRUE
1,0.01,FALSE,TRUE
1,0.001,FALSE,FALSE
1,1e-04,FALSE,FALSE
0.5,0.1,TRUE,TRUE
0.5,0.01,FALSE,TRUE
0.5,0.001,FALSE,TRUE
0.5,1e-04,FALSE,FALSE
0.25,0.1,TRUE,TRUE
0.25,0.01,FALSE,TRUE
0.25,0.001,FALSE,TRUE
0.25,1e-04,FALSE,FALSE
0.125,0.1,TRUE,TRUE
0.125,0.01,TRUE,TRUE
0.125,0.001,FALSE,TRUE
0.125,1e-04,FALSE,TRUE
0.0625,0.1,TRUE,TRUE
0.0625,0.01,TRUE,TRUE
0.0625,0.001,FALSE,TRUE
0.0625,1e-04,FALSE,TRUE
0.03125,0.1,TRUE,TRUE
0.03125,0.01,TRUE,TRUE
0.03125,0.001,FALSE,TRUE
0.03125,1e-04,FALSE,TRUE
0.015625,0.1,TRUE,TRUE
0.015625,0.01,TRUE,TRUE
0.015625,0.001,TRUE,TRUE
0.015625,1e-04,FALSE,TRUE
0.0078125,0.1,TRUE,TRUE
0.0078125,0.01,TRUE,TRUE
0.0078125,0.001,TRUE,TRUE
0.0078125,1e-04,FALSE,TRUE
0.00390625,0.1,TRUE,TRUE
0.00390625,0.01,TRUE,TRUE
0.00390625,0.001,TRUE,TRUE
0.00390625,1e-04,FALSE,TRUE
