time,exponential,logistic
0,100.000000,100.000000
1,108.328707,107.433921
2,117.351087,115.349645
3,127.124915,123.767726
4,137.712776,132.707990
5,149.182470,142.189251
6,161.607440,152.229001
7,175.067250,162.843069
8,189.648088,174.045263
9,205.443321,185.846997
10,222.554093,198.256899
11,241.089971,211.280422
12,261.169647,224.919458
13,282.921701,239.171960
14,306.485420,254.031599
15,332.011692,269.487452
16,359.663973,285.523743
17,389.619330,302.119642
18,422.069582,319.249144
19,457.222520,336.881029
20,495.303242,354.978923
21,536.555597,373.501449
22,581.243739,392.402495
23,629.653826,411.631583
24,682.095847,431.134339
25,738.905610,450.853060
26,800.446891,470.727369
27,867.113766,490.694930
28,939.333129,510.692225
29,1017.567431,530.655358
30,1102.317638,550.520865
31,1194.126442,570.226524
32,1293.581732,589.712119
33,1401.320361,608.920159
34,1518.032224,627.796524
35,1644.464677,646.291022
36,1781.427318,664.357861
37,1929.797176,681.956005
38,2090.524324,699.049430
39,2264.637964,715.607280
40,2453.253020,731.603910
