scenario,time,state,rate,parameter_a,parameter_b,parameter_c,method,warning
logistic_growth,0.0,10.0,5.4,0.6,100.0,0.0,explicit_euler,Logistic growth assumes a fixed carrying capacity and smooth density limitation.
logistic_growth,0.05,10.27,5.5291626,0.6,100.0,0.0,explicit_euler,Logistic growth assumes a fixed carrying capacity and smooth density limitation.
logistic_growth,0.1,10.54645813,5.660508203472941,0.6,100.0,0.0,explicit_euler,Logistic growth assumes a fixed carrying capacity and smooth density limitation.
logistic_growth,0.15000000000000002,10.829483540173646,5.7940238416228365,0.6,100.0,0.0,explicit_euler,Logistic growth assumes a fixed carrying capacity and smooth density limitation.
logistic_growth,0.2,11.119184732254787,5.929693224692825,0.6,100.0,0.0,explicit_euler,Logistic growth assumes a fixed carrying capacity and smooth density limitation.
logistic_growth,0.25,11.415669393489429,6.06749658988495,0.6,100.0,0.0,explicit_euler,Logistic growth assumes a fixed carrying capacity and smooth density limitation.
logistic_growth,0.30000000000000004,11.719044222983676,6.207410548788723,0.6,100.0,0.0,explicit_euler,Logistic growth assumes a fixed carrying capacity and smooth density limitation.
logistic_growth,0.35000000000000003,12.029414750423113,6.349407934827685,0.6,100.0,0.0,explicit_euler,Logistic growth assumes a fixed carrying capacity and smooth density limitation.
logistic_growth,0.4,12.346885147164498,6.493457651275071,0.6,100.0,0.0,explicit_euler,Logistic growth assumes a fixed carrying capacity and smooth density limitation.
logistic_growth,0.45,12.671558029728251,6.639524520432328,0.6,100.0,0.0,explicit_euler,Logistic growth assumes a fixed carrying capacity and smooth density limitation.
logistic_growth,0.5,13.003534255749868,6.787569134607158,0.6,100.0,0.0,explicit_euler,Logistic growth assumes a fixed carrying capacity and smooth density limitation.
logistic_growth,0.55,13.342912712480226,6.9375477095709375,0.6,100.0,0.0,explicit_euler,Logistic growth assumes a fixed carrying capacity and smooth density limitation.
logistic_growth,0.6000000000000001,13.689790097958772,7.089411941218242,0.6,100.0,0.0,explicit_euler,Logistic growth assumes a fixed carrying capacity and smooth density limitation.
logistic_growth,0.65,14.044260695019684,7.2431088661937615,0.6,100.0,0.0,explicit_euler,Logistic growth assumes a fixed carrying capacity and smooth density limitation.
logistic_growth,0.7000000000000001,14.406416138329373,7.398580727293322,0.6,100.0,0.0,explicit_euler,Logistic growth assumes a fixed carrying capacity and smooth density limitation.
logistic_growth,0.75,14.77634517469404,7.555764844486201,0.6,100.0,0.0,explicit_euler,Logistic growth assumes a fixed carrying capacity and smooth density limitation.
logistic_growth,0.8,15.15413341691835,7.714593492444442,0.6,100.0,0.0,explicit_euler,Logistic growth assumes a fixed carrying capacity and smooth density limitation.
logistic_growth,0.8500000000000001,15.539863091540573,7.874993785501394,0.6,100.0,0.0,explicit_euler,Logistic growth assumes a fixed carrying capacity and smooth density limitation.
logistic_growth,0.9,15.933612780815643,8.036887570995557,0.6,100.0,0.0,explicit_euler,Logistic growth assumes a fixed carrying capacity and smooth density limitation.
logistic_growth,0.9500000000000001,16.335457159365422,8.200191331986476,0.6,100.0,0.0,explicit_euler,Logistic growth assumes a fixed carrying capacity and smooth density limitation.
logistic_growth,1.0,16.745466725964747,8.364816100356492,0.6,100.0,0.0,explicit_euler,Logistic growth assumes a fixed carrying capacity and smooth density limitation.
logistic_growth,1.05,17.16370753098257,8.530667381334895,0.6,100.0,0.0,explicit_euler,Logistic growth assumes a fixed carrying capacity and smooth density limitation.
logistic_growth,1.1,17.590240900049317,8.697645090498984,0.6,100.0,0.0,explicit_euler,Logistic growth assumes a fixed carrying capacity and smooth density limitation.
logistic_growth,1.1500000000000001,18.025123154574267,8.865643504319143,0.6,100.0,0.0,explicit_euler,Logistic growth assumes a fixed carrying capacity and smooth density limitation.
logistic_growth,1.2000000000000002,18.468405329790222,9.03455122532159,0.6,100.0,0.0,explicit_euler,Logistic growth assumes a fixed carrying capacity and smooth density limitation.
logistic_growth,1.25,18.9201328910563,9.204251162942398,0.6,100.0,0.0,explicit_euler,Logistic growth assumes a fixed carrying capacity and smooth density limitation.
logistic_growth,1.3,19.38034544920342,9.374620531139294,0.6,100.0,0.0,explicit_euler,Logistic growth assumes a fixed carrying capacity and smooth density limitation.
logistic_growth,1.35,19.849076475760388,9.545530863812726,0.6,100.0,0.0,explicit_euler,Logistic growth assumes a fixed carrying capacity and smooth density limitation.
logistic_growth,1.4000000000000001,20.326353018951025,9.716848049064497,0.6,100.0,0.0,explicit_euler,Logistic growth assumes a fixed carrying capacity and smooth density limitation.
logistic_growth,1.4500000000000002,20.81219542140425,9.88843238329023,0.6,100.0,0.0,explicit_euler,Logistic growth assumes a fixed carrying capacity and smooth density limitation.
logistic_growth,1.5,21.306617040568764,10.060138646060526,0.6,100.0,0.0,explicit_euler,Logistic growth assumes a fixed carrying capacity and smooth density limitation.
logistic_growth,1.55,21.80962397287179,10.23181619669469,0.6,100.0,0.0,explicit_euler,Logistic growth assumes a fixed carrying capacity and smooth density limitation.
logistic_growth,1.6,22.321214782706527,10.403309093369618,0.6,100.0,0.0,explicit_euler,Logistic growth assumes a fixed carrying capacity and smooth density limitation.
logistic_growth,1.6500000000000001,22.841380237375006,10.57445623553493,0.6,100.0,0.0,explicit_euler,Logistic growth assumes a fixed carrying capacity and smooth density limitation.
logistic_growth,1.7000000000000002,23.37010304915175,10.74509153032322,0.6,100.0,0.0,explicit_euler,Logistic growth assumes a fixed carrying capacity and smooth density limitation.
logistic_growth,1.75,23.907357625667913,10.915044083551258,0.6,100.0,0.0,explicit_euler,Logistic growth assumes a fixed carrying capacity and smooth density limitation.
logistic_growth,1.8,24.453109829845477,11.084138415804372,0.6,100.0,0.0,explicit_euler,Logistic growth assumes a fixed carrying capacity and smooth density limitation.
logistic_growth,1.85,25.007316750635695,11.252194703981669,0.6,100.0,0.0,explicit_euler,Logistic growth assumes a fixed carrying capacity and smooth density limitation.
logistic_growth,1.9000000000000001,25.569926485834777,11.419029048554897,0.6,100.0,0.0,explicit_euler,Logistic growth assumes a fixed carrying capacity and smooth density limitation.
logistic_growth,1.9500000000000002,26.140877938262523,11.584453766658672,0.6,100.0,0.0,explicit_euler,Logistic growth assumes a fixed carrying capacity and smooth density limitation.
logistic_growth,2.0,26.720100626595457,11.74827771098495,0.6,100.0,0.0,explicit_euler,Logistic growth assumes a fixed carrying capacity and smooth density limitation.
logistic_growth,2.0500000000000003,27.307514512144703,11.91030661430086,0.6,100.0,0.0,explicit_euler,Logistic growth assumes a fixed carrying capacity and smooth density limitation.
logistic_growth,2.1,27.903029842859745,12.070343459246715,0.6,100.0,0.0,explicit_euler,Logistic growth assumes a fixed carrying capacity and smooth density limitation.
logistic_growth,2.15,28.50654701582208,12.2281888729016,0.6,100.0,0.0,explicit_euler,Logistic growth assumes a fixed carrying capacity and smooth density limitation.
logistic_growth,2.2,29.11795645946716,12.383641545427745,0.6,100.0,0.0,explicit_euler,Logistic growth assumes a fixed carrying capacity and smooth density limitation.
logistic_growth,2.25,29.737138536738545,12.536498671924045,0.6,100.0,0.0,explicit_euler,Logistic growth assumes a fixed carrying capacity and smooth density limitation.
