step,time,solver_value,exact_value,absolute_error,solver_method,step_size,warning
0,0.0,100.0,100.0,0.0,fixed_step_rk4,0.5,"ODE solver outputs depend on equation, initial condition, method, tolerances, step size, stiffness, and diagnostics."
1,0.5,83.9458349609375,83.94570207692074,0.00013288401676447847,fixed_step_rk4,0.5,"ODE solver outputs depend on equation, initial condition, method, tolerances, step size, stiffness, and diagnostics."
2,1.0,70.46903207288958,70.46880897187134,0.00022310101823563855,fixed_step_rk4,0.5,"ODE solver outputs depend on equation, initial condition, method, tolerances, step size, stiffness, and diagnostics."
3,1.5,59.155817362478,59.15553643668151,0.0002809257964884182,fixed_step_rk4,0.5,"ODE solver outputs depend on equation, initial condition, method, tolerances, step size, stiffness, and diagnostics."
4,2.0,49.65884481289939,49.658530379140956,0.00031443375843309695,fixed_step_rk4,0.5,"ODE solver outputs depend on equation, initial condition, method, tolerances, step size, stiffness, and diagnostics."
5,2.5,41.686531910144595,41.68620196785084,0.0003299422937530494,fixed_step_rk4,0.5,"ODE solver outputs depend on equation, initial condition, method, tolerances, step size, stiffness, and diagnostics."
6,3.0,34.994107278228526,34.993774911115544,0.0003323671129820127,fixed_step_rk4,0.5,"ODE solver outputs depend on equation, initial condition, method, tolerances, step size, stiffness, and diagnostics."
7,3.5,29.376095541835138,29.375770032353287,0.00032550948185061657,fixed_step_rk4,0.5,"ODE solver outputs depend on equation, initial condition, method, tolerances, step size, stiffness, and diagnostics."
8,4.0,24.660008681516246,24.659696394160648,0.0003122873555980732,fixed_step_rk4,0.5,"ODE solver outputs depend on equation, initial condition, method, tolerances, step size, stiffness, and diagnostics."
9,4.5,20.70105018913849,20.700755268115266,0.000294921023222372,fixed_step_rk4,0.5,"ODE solver outputs depend on equation, initial condition, method, tolerances, step size, stiffness, and diagnostics."
10,5.0,17.377669426955038,17.377394345044515,0.0002750819105230562,fixed_step_rk4,0.5,"ODE solver outputs depend on equation, initial condition, method, tolerances, step size, stiffness, and diagnostics."
11,5.5,14.58782969720897,14.587575685622742,0.0002540115862288417,fixed_step_rk4,0.5,"ODE solver outputs depend on equation, initial condition, method, tolerances, step size, stiffness, and diagnostics."
12,6.0,12.245875442001672,12.245642825298194,0.0002326167034780724,fixed_step_rk4,0.5,"ODE solver outputs depend on equation, initial condition, method, tolerances, step size, stiffness, and diagnostics."
13,6.5,10.2799023880647,10.27969084352864,0.00021154453606087031,fixed_step_rk4,0.5,"ODE solver outputs depend on equation, initial condition, method, tolerances, step size, stiffness, and diagnostics."
14,7.0,8.629549892830266,8.629358649937053,0.0001912428932122623,fixed_step_rk4,0.5,"ODE solver outputs depend on equation, initial condition, method, tolerances, step size, stiffness, and diagnostics."
15,7.5,7.244147710907054,7.2439757034251455,0.00017200748190848714,fixed_step_rk4,0.5,"ODE solver outputs depend on equation, initial condition, method, tolerances, step size, stiffness, and diagnostics."
16,8.0,6.081160281724568,6.0810062625217975,0.00015401920277025027,fixed_step_rk4,0.5,"ODE solver outputs depend on equation, initial condition, method, tolerances, step size, stiffness, and diagnostics."
17,8.5,5.104880773806587,5.104743400415441,0.00013737339114605618,fixed_step_rk4,0.5,"ODE solver outputs depend on equation, initial condition, method, tolerances, step size, stiffness, and diagnostics."
18,9.0,4.285334789332307,4.285212686704019,0.00012210262828826757,fixed_step_rk4,0.5,"ODE solver outputs depend on equation, initial condition, method, tolerances, step size, stiffness, and diagnostics."
19,9.5,3.597360069776537,3.597251875342967,0.00010819443357013014,fixed_step_rk4,0.5,"ODE solver outputs depend on equation, initial condition, method, tolerances, step size, stiffness, and diagnostics."
20,10.0,3.019833947125278,3.0197383422318502,9.560489342774758e-05,fixed_step_rk4,0.5,"ODE solver outputs depend on equation, initial condition, method, tolerances, step size, stiffness, and diagnostics."
21,10.5,2.5350248213481503,2.5349405522724946,8.426907565572961e-05,fixed_step_rk4,0.5,"ODE solver outputs depend on equation, initial condition, method, tolerances, step size, stiffness, and diagnostics."
22,11.0,2.128047752747719,2.1279736438377177,7.410891000114717e-05,fixed_step_rk4,0.5,"ODE solver outputs depend on equation, initial condition, method, tolerances, step size, stiffness, and diagnostics."
23,11.5,1.7864074544115396,1.7863424153314051,6.50390801344436e-05,fixed_step_rk4,0.5,"ODE solver outputs depend on equation, initial condition, method, tolerances, step size, stiffness, and diagnostics."
24,12.0,1.499614653410196,1.4995576820477716,5.697136242432954e-05,fixed_step_rk4,0.5,"ODE solver outputs depend on equation, initial condition, method, tolerances, step size, stiffness, and diagnostics."
25,12.5,1.258864042001758,1.2588142242433997,4.9817758358328135e-05,fixed_step_rk4,0.5,"ODE solver outputs depend on equation, initial condition, method, tolerances, step size, stiffness, and diagnostics."
26,13.0,1.0567639310813828,1.0567204383852655,4.349269611725326e-05,fixed_step_rk4,0.5,"ODE solver outputs depend on equation, initial condition, method, tolerances, step size, stiffness, and diagnostics."
27,13.5,0.887109305512293,0.8870713909928258,3.791451946710822e-05,fixed_step_rk4,0.5,"ODE solver outputs depend on equation, initial condition, method, tolerances, step size, stiffness, and diagnostics."
28,14.0,0.7446913135284683,0.7446583070924344,3.300643603387776e-05,fixed_step_rk4,0.5,"ODE solver outputs depend on equation, initial condition, method, tolerances, step size, stiffness, and diagnostics."
29,14.5,0.6251373410230456,0.6251086439628567,2.8697060188931367e-05,fixed_step_rk4,0.5,"ODE solver outputs depend on equation, initial condition, method, tolerances, step size, stiffness, and diagnostics."
30,15.0,0.5247767605743989,0.5247518399181385,2.492065626047424e-05,fixed_step_rk4,0.5,"ODE solver outputs depend on equation, initial condition, method, tolerances, step size, stiffness, and diagnostics."
31,15.5,0.4405282333451391,0.44050661618084064,2.161716429843752e-05,fixed_step_rk4,0.5,"ODE solver outputs depend on equation, initial condition, method, tolerances, step size, stiffness, and diagnostics."
32,16.0,0.3698051037202441,0.3697863716482932,1.8732071950910978e-05,fixed_step_rk4,0.5,"ODE solver outputs depend on equation, initial condition, method, tolerances, step size, stiffness, and diagnostics."
33,16.5,0.3104359820461199,0.31041976586493114,1.6216181188744017e-05,fixed_step_rk4,0.5,"ODE solver outputs depend on equation, initial condition, method, tolerances, step size, stiffness, and diagnostics."
34,17.0,0.26059807714780137,0.26058405184085004,1.402530695132631e-05,fixed_step_rk4,0.5,"ODE solver outputs depend on equation, initial condition, method, tolerances, step size, stiffness, and diagnostics."
35,17.5,0.2187612317538699,0.21874911181828852,1.2119935581395014e-05,fixed_step_rk4,0.5,"ODE solver outputs depend on equation, initial condition, method, tolerances, step size, stiffness, and diagnostics."
36,18.0,0.18364094256661764,0.1836304777028907,1.0464863726938889e-05,fixed_step_rk4,0.5,"ODE solver outputs depend on equation, initial condition, method, tolerances, step size, stiffness, and diagnostics."
37,18.5,0.15415892256768288,0.15414989373489502,9.028832787860708e-06,fixed_step_rk4,0.5,"ODE solver outputs depend on equation, initial condition, method, tolerances, step size, stiffness, and diagnostics."
38,19.0,0.1294099947162265,0.1294022105465849,7.784169641589234e-06,fixed_step_rk4,0.5,"ODE solver outputs depend on equation, initial condition, method, tolerances, step size, stiffness, and diagnostics."
39,19.5,0.10863430058744143,0.1086275941463859,6.706441055534529e-06,fixed_step_rk4,0.5,"ODE solver outputs depend on equation, initial condition, method, tolerances, step size, stiffness, and diagnostics."
40,20.0,0.09119397068210235,0.09118819655545163,5.774126650717748e-06,fixed_step_rk4,0.5,"ODE solver outputs depend on equation, initial condition, method, tolerances, step size, stiffness, and diagnostics."
