x,y,output,partial_x,partial_y,cross_partial_xy,feasible,warning
0.0,0.0,0.0,3.0,2.0,0.5,True,
0.0,2.0,4.0,4.0,2.0,0.5,True,
0.0,4.0,8.0,5.0,2.0,0.5,True,
0.0,6.0,12.0,6.0,2.0,0.5,True,
0.0,8.0,16.0,7.0,2.0,0.5,True,
0.0,10.0,20.0,8.0,2.0,0.5,True,
2.0,0.0,6.0,3.0,3.0,0.5,True,
2.0,2.0,12.0,4.0,3.0,0.5,True,
2.0,4.0,18.0,5.0,3.0,0.5,True,
2.0,6.0,24.0,6.0,3.0,0.5,True,
2.0,8.0,30.0,7.0,3.0,0.5,True,
2.0,10.0,36.0,8.0,3.0,0.5,False,Input combination is outside the feasible region.
4.0,0.0,12.0,3.0,4.0,0.5,True,
4.0,2.0,20.0,4.0,4.0,0.5,True,
4.0,4.0,28.0,5.0,4.0,0.5,True,
4.0,6.0,36.0,6.0,4.0,0.5,True,
4.0,8.0,44.0,7.0,4.0,0.5,False,Input combination is outside the feasible region.
4.0,10.0,52.0,8.0,4.0,0.5,False,Input combination is outside the feasible region.
6.0,0.0,18.0,3.0,5.0,0.5,True,
6.0,2.0,28.0,4.0,5.0,0.5,True,
6.0,4.0,38.0,5.0,5.0,0.5,True,
6.0,6.0,48.0,6.0,5.0,0.5,False,Input combination is outside the feasible region.
6.0,8.0,58.0,7.0,5.0,0.5,False,Input combination is outside the feasible region.
6.0,10.0,68.0,8.0,5.0,0.5,False,Input combination is outside the feasible region.
8.0,0.0,24.0,3.0,6.0,0.5,True,
8.0,2.0,36.0,4.0,6.0,0.5,True,
8.0,4.0,48.0,5.0,6.0,0.5,False,Input combination is outside the feasible region.
8.0,6.0,60.0,6.0,6.0,0.5,False,Input combination is outside the feasible region.
8.0,8.0,72.0,7.0,6.0,0.5,False,Input combination is outside the feasible region.
8.0,10.0,84.0,8.0,6.0,0.5,False,Input combination is outside the feasible region.
10.0,0.0,30.0,3.0,7.0,0.5,True,
10.0,2.0,44.0,4.0,7.0,0.5,False,Input combination is outside the feasible region.
10.0,4.0,58.0,5.0,7.0,0.5,False,Input combination is outside the feasible region.
10.0,6.0,72.0,6.0,7.0,0.5,False,Input combination is outside the feasible region.
10.0,8.0,86.0,7.0,7.0,0.5,False,Input combination is outside the feasible region.
10.0,10.0,100.0,8.0,7.0,0.5,False,Input combination is outside the feasible region.
