scenario,structure,period,stock,inflow,demand,losses,raw_next_stock,next_stock,shortage,overflow,capacity
linear_baseline,linear,0,80.0,8.0,6.0,1.2,80.8,80.8,0.0,0.0,100.0
linear_baseline,linear,1,80.8,8.0,6.0,1.212,81.588,81.588,0.0,0.0,100.0
linear_baseline,linear,2,81.588,8.0,6.0,1.22382,82.36418,82.36418,0.0,0.0,100.0
linear_baseline,linear,3,82.36418,8.0,6.0,1.2354627,83.1287173,83.1287173,0.0,0.0,100.0
linear_baseline,linear,4,83.1287173,8.0,6.0,1.24693076,83.88178654,83.88178654,0.0,0.0,100.0
linear_baseline,linear,5,83.88178654,8.0,6.0,1.2582268,84.62355974,84.62355974,0.0,0.0,100.0
linear_baseline,linear,6,84.62355974,8.0,6.0,1.2693534,85.35420635,85.35420635,0.0,0.0,100.0
linear_baseline,linear,7,85.35420635,8.0,6.0,1.2803131,86.07389325,86.07389325,0.0,0.0,100.0
linear_baseline,linear,8,86.07389325,8.0,6.0,1.2911084,86.78278485,86.78278485,0.0,0.0,100.0
linear_baseline,linear,9,86.78278485,8.0,6.0,1.30174177,87.48104308,87.48104308,0.0,0.0,100.0
linear_baseline,linear,10,87.48104308,8.0,6.0,1.31221565,88.16882743,88.16882743,0.0,0.0,100.0
linear_baseline,linear,11,88.16882743,8.0,6.0,1.32253241,88.84629502,88.84629502,0.0,0.0,100.0
linear_baseline,linear,12,88.84629502,8.0,6.0,1.33269443,89.5136006,89.5136006,0.0,0.0,100.0
linear_baseline,linear,13,89.5136006,8.0,6.0,1.34270401,90.17089659,90.17089659,0.0,0.0,100.0
linear_baseline,linear,14,90.17089659,8.0,6.0,1.35256345,90.81833314,90.81833314,0.0,0.0,100.0
linear_baseline,linear,15,90.81833314,8.0,6.0,1.362275,91.45605814,91.45605814,0.0,0.0,100.0
linear_baseline,linear,16,91.45605814,8.0,6.0,1.37184087,92.08421727,92.08421727,0.0,0.0,100.0
linear_baseline,linear,17,92.08421727,8.0,6.0,1.38126326,92.70295401,92.70295401,0.0,0.0,100.0
linear_baseline,linear,18,92.70295401,8.0,6.0,1.39054431,93.3124097,93.3124097,0.0,0.0,100.0
linear_baseline,linear,19,93.3124097,8.0,6.0,1.39968615,93.91272355,93.91272355,0.0,0.0,100.0
linear_baseline,linear,20,93.91272355,8.0,6.0,1.40869085,94.5040327,94.5040327,0.0,0.0,100.0
linear_baseline,linear,21,94.5040327,8.0,6.0,1.41756049,95.08647221,95.08647221,0.0,0.0,100.0
linear_baseline,linear,22,95.08647221,8.0,6.0,1.42629708,95.66017513,95.66017513,0.0,0.0,100.0
linear_baseline,linear,23,95.66017513,8.0,6.0,1.43490263,96.2252725,96.2252725,0.0,0.0,100.0
linear_baseline,linear,24,96.2252725,8.0,6.0,1.44337909,96.78189341,96.78189341,0.0,0.0,100.0
linear_baseline,linear,25,96.78189341,8.0,6.0,1.4517284,97.33016501,97.33016501,0.0,0.0,100.0
linear_baseline,linear,26,97.33016501,8.0,6.0,1.45995248,97.87021254,97.87021254,0.0,0.0,100.0
linear_baseline,linear,27,97.87021254,8.0,6.0,1.46805319,98.40215935,98.40215935,0.0,0.0,100.0
