scenario,step_size,index,time,resource_stock
resource_dynamics,1.0,0,0.0,70.0
resource_dynamics,1.0,1,1.0,67.78
resource_dynamics,1.0,2,2.0,65.71096888
resource_dynamics,1.0,3,3.0,63.7666667
resource_dynamics,1.0,4,4.0,61.9255287
resource_dynamics,1.0,5,5.0,60.16953588
resource_dynamics,1.0,6,6.0,58.48338085
resource_dynamics,1.0,7,7.0,56.8538389
resource_dynamics,1.0,8,8.0,55.26928371
resource_dynamics,1.0,9,9.0,53.71930607
resource_dynamics,1.0,10,10.0,52.19440625
resource_dynamics,1.0,11,11.0,50.68573849
resource_dynamics,1.0,12,12.0,49.18489206
resource_dynamics,1.0,13,13.0,47.68369614
resource_dynamics,1.0,14,14.0,46.17403867
resource_dynamics,1.0,15,15.0,44.6476903
resource_dynamics,1.0,16,16.0,43.09612531
resource_dynamics,1.0,17,17.0,41.51033104
resource_dynamics,1.0,18,18.0,39.88059697
resource_dynamics,1.0,19,19.0,38.1962728
resource_dynamics,1.0,20,20.0,36.44548245
resource_dynamics,1.0,21,21.0,34.61477754
resource_dynamics,1.0,22,22.0,32.68870842
resource_dynamics,1.0,23,23.0,30.64928295
resource_dynamics,1.0,24,24.0,28.4752725
resource_dynamics,1.0,25,25.0,26.14130749
resource_dynamics,1.0,26,26.0,23.61668051
resource_dynamics,1.0,27,27.0,20.86373733
resource_dynamics,1.0,28,28.0,17.83567808
resource_dynamics,1.0,29,29.0,14.47349959
resource_dynamics,1.0,30,30.0,10.70166158
resource_dynamics,1.0,31,31.0,6.42181465
resource_dynamics,1.0,32,32.0,1.50350982
resource_dynamics,1.0,33,33.0,0.0
resource_dynamics,1.0,34,34.0,0.0
resource_dynamics,1.0,35,35.0,0.0
resource_dynamics,1.0,36,36.0,0.0
resource_dynamics,1.0,37,37.0,0.0
resource_dynamics,1.0,38,38.0,0.0
resource_dynamics,1.0,39,39.0,0.0
resource_dynamics,1.0,40,40.0,0.0
resource_dynamics,1.0,41,41.0,0.0
resource_dynamics,1.0,42,42.0,0.0
resource_dynamics,1.0,43,43.0,0.0
resource_dynamics,1.0,44,44.0,0.0
resource_dynamics,1.0,45,45.0,0.0
resource_dynamics,1.0,46,46.0,0.0
resource_dynamics,1.0,47,47.0,0.0
resource_dynamics,1.0,48,48.0,0.0
resource_dynamics,1.0,49,49.0,0.0
resource_dynamics,1.0,50,50.0,0.0
resource_dynamics,0.5,0,0.0,70.0
resource_dynamics,0.5,1,0.5,68.89
resource_dynamics,0.5,2,1.0,67.81885111
resource_dynamics,0.5,3,1.5,66.7830908
resource_dynamics,0.5,4,2.0,65.77958588
resource_dynamics,0.5,5,2.5,64.80549008
resource_dynamics,0.5,6,3.0,63.8582078
resource_dynamics,0.5,7,3.5,62.93536287
resource_dynamics,0.5,8,4.0,62.03477161
resource_dynamics,0.5,9,4.5,61.15441946
resource_dynamics,0.5,10,5.0,60.29244049
resource_dynamics,0.5,11,5.5,59.4470996
resource_dynamics,0.5,12,6.0,58.61677667
resource_dynamics,0.5,13,6.5,57.79995272
resource_dynamics,0.5,14,7.0,56.99519738
resource_dynamics,0.5,15,7.5,56.20115787
resource_dynamics,0.5,16,8.0,55.41654895
resource_dynamics,0.5,17,8.5,54.64014385
resource_dynamics,0.5,18,9.0,53.87076601
resource_dynamics,0.5,19,9.5,53.10728146
resource_dynamics,0.5,20,10.0,52.34859178
resource_dynamics,0.5,21,10.5,51.59362749
resource_dynamics,0.5,22,11.0,50.8413418
resource_dynamics,0.5,23,11.5,50.09070473
resource_dynamics,0.5,24,12.0,49.34069733
resource_dynamics,0.5,25,12.5,48.59030612
resource_dynamics,0.5,26,13.0,47.8385176
resource_dynamics,0.5,27,13.5,47.0843128
resource_dynamics,0.5,28,14.0,46.32666169
resource_dynamics,0.5,29,14.5,45.56451762
resource_dynamics,0.5,30,15.0,44.79681146
resource_dynamics,0.5,31,15.5,44.02244561
resource_dynamics,0.5,32,16.0,43.24028757
resource_dynamics,0.5,33,16.5,42.44916323
resource_dynamics,0.5,34,17.0,41.6478496
resource_dynamics,0.5,35,17.5,40.83506703
resource_dynamics,0.5,36,18.0,40.00947063
resource_dynamics,0.5,37,18.5,39.16964102
resource_dynamics,0.5,38,19.0,38.31407402
resource_dynamics,0.5,39,19.5,37.44116924
resource_dynamics,0.5,40,20.0,36.54921743
resource_dynamics,0.5,41,20.5,35.63638623
resource_dynamics,0.5,42,21.0,34.70070417
resource_dynamics,0.5,43,21.5,33.74004256
resource_dynamics,0.5,44,22.0,32.75209497
resource_dynamics,0.5,45,22.5,31.73435377
