run,demand,supply,reserve,available_supply,shortage,shortage_event
1,53.456106,90.976031,5.000000,95.976031,0.000000,0
2,82.408856,87.631880,5.000000,92.631880,0.000000,0
3,82.408194,89.000879,5.000000,94.000879,0.000000,0
4,69.666600,97.671675,5.000000,102.671675,0.000000,0
5,68.423175,95.103999,5.000000,100.103999,0.000000,0
6,55.919504,85.384077,5.000000,90.384077,0.000000,0
7,120.620369,94.022561,5.000000,99.022561,21.597808,1
8,74.006056,108.278707,5.000000,113.278707,0.000000,0
9,67.616820,97.056813,5.000000,102.056813,0.000000,0
10,101.237944,105.843687,5.000000,110.843687,0.000000,0
11,87.787412,98.522892,5.000000,103.522892,0.000000,0
12,78.100398,88.424381,5.000000,93.424381,0.000000,0
13,60.338385,99.565398,5.000000,104.565398,0.000000,0
14,71.952993,103.310315,5.000000,108.310315,0.000000,0
15,91.391163,102.444246,5.000000,107.444246,0.000000,0
16,101.425767,105.396394,5.000000,110.396394,0.000000,0
17,66.180106,104.259611,5.000000,109.259611,0.000000,0
18,101.896439,112.075988,5.000000,117.075988,0.000000,0
19,64.032320,78.206542,5.000000,83.206542,0.000000,0
20,78.023892,102.712596,5.000000,107.712596,0.000000,0
21,76.589853,100.918556,5.000000,105.918556,0.000000,0
22,120.892612,98.619034,5.000000,103.619034,17.273578,1
23,82.554378,95.588878,5.000000,100.588878,0.000000,0
24,96.165017,94.909300,5.000000,99.909300,0.000000,0
25,98.722477,105.147268,5.000000,110.147268,0.000000,0
26,76.485019,83.840595,5.000000,88.840595,0.000000,0
27,63.406611,102.618601,5.000000,107.618601,0.000000,0
28,78.693980,83.941995,5.000000,88.941995,0.000000,0
29,129.377074,88.189007,5.000000,93.189007,36.188067,1
30,53.456497,103.746772,5.000000,108.746772,0.000000,0
31,91.836186,102.581129,5.000000,107.581129,0.000000,0
32,127.913111,96.352659,5.000000,101.352659,26.560452,1
33,102.504556,94.461649,5.000000,99.461649,3.042907,1
34,125.445648,90.107469,5.000000,95.107469,30.338179,1
35,77.153325,91.199259,5.000000,96.199259,0.000000,0
36,111.294406,99.794167,5.000000,104.794167,6.500239,1
37,110.140791,95.834392,5.000000,100.834392,9.306399,1
38,70.770906,101.159196,5.000000,106.159196,0.000000,0
39,86.729099,106.986125,5.000000,111.986125,0.000000,0
40,100.275655,112.773754,5.000000,117.773754,0.000000,0
41,90.133112,89.379832,5.000000,94.379832,0.000000,0
42,82.271602,88.383576,5.000000,93.383576,0.000000,0
43,99.286664,86.313247,5.000000,91.313247,7.973417,1
44,84.592866,100.569717,5.000000,105.569717,0.000000,0
45,76.922975,101.264463,5.000000,106.264463,0.000000,0
46,149.822785,76.654754,5.000000,81.654754,68.168031,1
47,85.846678,99.731642,5.000000,104.731642,0.000000,0
48,96.533886,124.987480,5.000000,129.987480,0.000000,0
49,93.167699,90.996024,5.000000,95.996024,0.000000,0
50,79.833788,75.109792,5.000000,80.109792,0.000000,0
51,74.859372,100.578860,5.000000,105.578860,0.000000,0
52,65.724989,93.256029,5.000000,98.256029,0.000000,0
53,56.906642,95.942522,5.000000,100.942522,0.000000,0
54,61.879640,113.026552,5.000000,118.026552,0.000000,0
55,67.362145,97.845316,5.000000,102.845316,0.000000,0
56,96.223503,93.575254,5.000000,98.575254,0.000000,0
57,97.910127,102.120339,5.000000,107.120339,0.000000,0
58,70.711744,87.947948,5.000000,92.947948,0.000000,0
59,71.406142,87.790966,5.000000,92.790966,0.000000,0
60,87.422300,93.575613,5.000000,98.575613,0.000000,0
61,113.075632,83.293371,5.000000,88.293371,24.782261,1
62,78.416973,94.075522,5.000000,99.075522,0.000000,0
63,113.415660,97.140917,5.000000,102.140917,11.274742,1
