"scenario","step","resource_stock"
"adaptive_policy",0,70
"baseline",0,70
"high_extraction",0,70
"shock_stress",0,70
"adaptive_policy",1,67.43
"baseline",1,67.43
"high_extraction",1,63.43
"shock_stress",1,65.47
"adaptive_policy",2,65.1530283466667
"baseline",2,65.1530283466667
"high_extraction",2,57.38855368
"shock_stress",2,61.1124608266667
"adaptive_policy",3,62.8065520651667
"baseline",3,62.8065520651667
"high_extraction",3,51.4092840473333
"shock_stress",3,56.9089257001667
"adaptive_policy",4,60.8933987098333
"baseline",4,60.8933987098333
"high_extraction",4,45.807851384
"shock_stress",4,53.8183030205
"adaptive_policy",5,58.755239554
"baseline",5,58.755239554
"high_extraction",5,39.952812324
"shock_stress",5,50.0861427731667
"adaptive_policy",6,56.71231259
"baseline",6,56.71231259
"high_extraction",6,33.9933166355
"shock_stress",6,47.2936165563333
"adaptive_policy",7,54.539334552
"baseline",7,54.539334552
"high_extraction",7,27.6661410091667
"shock_stress",7,43.1238894661667
"adaptive_policy",8,52.7174908208333
"baseline",8,52.7174908208333
"high_extraction",8,21.1173748003333
"shock_stress",8,39.9167386265
"adaptive_policy",9,50.6468393481667
"baseline",9,50.6468393481667
"high_extraction",9,13.8825454531667
"shock_stress",9,36.6283511896667
"adaptive_policy",10,48.7897315753333
"baseline",10,48.7897315753333
"high_extraction",10,6.33249051916667
"shock_stress",10,32.9108340386667
"adaptive_policy",11,47.0025157406667
"baseline",11,46.9375157406667
"high_extraction",11,0.429837387166667
"shock_stress",11,29.8527513573333
"adaptive_policy",12,45.8443311423333
"baseline",12,45.3862119295
"high_extraction",12,0
"shock_stress",12,27.2568447716667
"adaptive_policy",13,44.3856014823333
"baseline",13,43.5842056253333
"high_extraction",13,0
"shock_stress",13,23.4696570986667
"adaptive_policy",14,42.6809380956667
"baseline",14,41.5834833831667
"high_extraction",14,0
"shock_stress",14,19.9244452125
"adaptive_policy",15,41.5754617541667
"baseline",15,39.8397443461667
"high_extraction",15,0
"shock_stress",15,17.2124611865
"adaptive_policy",16,41.419621049
"baseline",16,37.9717346508333
"high_extraction",16,0
"shock_stress",16,14.2780828065
"adaptive_policy",17,40.3461427083333
