step,time,state
0,0.000000,10.000000
1,0.100000,10.319440
2,0.200000,10.647876
3,0.300000,10.985485
4,0.400000,11.332441
5,0.500000,11.688916
6,0.600000,12.055080
7,0.700000,12.431099
8,0.800000,12.817138
9,0.900000,13.213356
10,1.000000,13.619909
11,1.100000,14.036948
12,1.200000,14.464618
13,1.300000,14.903059
14,1.400000,15.352405
15,1.500000,15.812781
16,1.600000,16.284307
17,1.700000,16.767093
18,1.800000,17.261241
19,1.900000,17.766844
20,2.000000,18.283983
21,2.100000,18.812732
22,2.200000,19.353149
23,2.300000,19.905285
24,2.400000,20.469175
25,2.500000,21.044842
26,2.600000,21.632295
27,2.700000,22.231529
28,2.800000,22.842524
29,2.900000,23.465245
30,3.000000,24.099639
31,3.100000,24.745639
32,3.200000,25.403160
33,3.300000,26.072099
34,3.400000,26.752336
35,3.500000,27.443732
36,3.600000,28.146130
37,3.700000,28.859356
38,3.800000,29.583214
39,3.900000,30.317490
40,4.000000,31.061952
41,4.100000,31.816348
42,4.200000,32.580407
43,4.300000,33.353839
44,4.400000,34.136335
45,4.500000,34.927567
46,4.600000,35.727192
47,4.700000,36.534844
48,4.800000,37.350145
49,4.900000,38.172696
50,5.000000,39.002085
51,5.100000,39.837883
52,5.200000,40.679647
53,5.300000,41.526920
54,5.400000,42.379233
55,5.500000,43.236104
56,5.600000,44.097042
57,5.700000,44.961544
58,5.800000,45.829100
59,5.900000,46.699193
60,6.000000,47.571298
61,6.100000,48.444887
62,6.200000,49.319427
63,6.300000,50.194384
64,6.400000,51.069222
65,6.500000,51.943406
66,6.600000,52.816401
67,6.700000,53.687677
68,6.800000,54.556707
69,6.900000,55.422970
70,7.000000,56.285951
71,7.100000,57.145143
72,7.200000,58.000049
73,7.300000,58.850182
74,7.400000,59.695065
75,7.500000,60.534233
76,7.600000,61.367237
77,7.700000,62.193640
78,7.800000,63.013020
79,7.900000,63.824971
80,8.000000,64.629102
81,8.100000,65.425042
82,8.200000,66.212434
83,8.300000,66.990942
84,8.400000,67.760246
85,8.500000,68.520047
86,8.600000,69.270061
87,8.700000,70.010028
88,8.800000,70.739702
89,8.900000,71.458861
90,9.000000,72.167299
91,9.100000,72.864830
92,9.200000,73.551286
93,9.300000,74.226519
94,9.400000,74.890399
95,9.500000,75.542813
96,9.600000,76.183666
97,9.700000,76.812881
98,9.800000,77.430397
99,9.900000,78.036170
100,10.000000,78.630171
101,10.100000,79.212387
102,10.200000,79.782819
103,10.300000,80.341483
104,10.400000,80.888407
105,10.500000,81.423633
106,10.600000,81.947216
107,10.700000,82.459220
108,10.800000,82.959722
109,10.900000,83.448810
110,11.000000,83.926580
111,11.100000,84.393138
112,11.200000,84.848598
113,11.300000,85.293083
114,11.400000,85.726721
115,11.500000,86.149650
116,11.600000,86.562012
117,11.700000,86.963954
118,11.800000,87.355630
119,11.900000,87.737197
120,12.000000,88.108817
121,12.100000,88.470655
122,12.200000,88.822880
123,12.300000,89.165661
124,12.400000,89.499173
125,12.500000,89.823591
126,12.600000,90.139089
127,12.700000,90.445847
128,12.800000,90.744042
129,12.900000,91.033853
130,13.000000,91.315458
131,13.100000,91.589035
132,13.200000,91.854764
133,13.300000,92.112820
134,13.400000,92.363379
135,13.500000,92.606619
136,13.600000,92.842710
137,13.700000,93.071827
138,13.800000,93.294139
139,13.900000,93.509815
140,14.000000,93.719022
141,14.100000,93.921923
142,14.200000,94.118681
143,14.300000,94.309455
144,14.400000,94.494403
145,14.500000,94.673680
146,14.600000,94.847437
147,14.700000,95.015824
148,14.800000,95.178988
149,14.900000,95.337073
150,15.000000,95.490220
151,15.100000,95.638567
152,15.200000,95.782249
153,15.300000,95.921400
154,15.400000,96.056150
155,15.500000,96.186624
156,15.600000,96.312947
157,15.700000,96.435241
158,15.800000,96.553624
159,15.900000,96.668212
160,16.000000,96.779116
