run_id,growth_rate,carrying_capacity,initial_state,final_state,max_state
0,0.3439482062,98.6167711973,9.8886841384,95.1391292325,95.1391292325
1,0.3794833165,98.9792937297,8.5026465857,96.6075205169,96.6075205169
2,0.3639573705,97.861300172,9.7830413159,95.3229161492,95.3229161492
3,0.354867161,101.8583818953,11.1635586866,99.10414018,99.10414018
4,0.3775787333,100.8840574196,9.2616783977,98.5648051619,98.5648051619
5,0.3073841806,101.9707375617,11.3110808272,96.3249478614,96.3249478614
6,0.3517495883,99.1494136498,10.5317762204,96.2376437337,96.2376437337
7,0.2889510975,97.5017814628,10.4903625326,90.1574932685,90.1574932685
8,0.3866829842,98.0749626188,10.3765998587,96.399773398,96.399773398
9,0.3604249649,106.2586144696,8.8867777858,102.7355496847,102.7355496847
10,0.3738665289,87.8838368662,7.3800545778,85.5289020104,85.5289020104
11,0.3245105894,92.6735196292,10.8760122431,88.9538480523,88.9538480523
12,0.3778991678,90.2474020696,10.8473614233,88.7108022866,88.7108022866
13,0.3079074814,99.3100492293,9.706100222,93.0788307161,93.0788307161
14,0.354805634,106.5490904924,10.6384137908,103.3583349704,103.3583349704
15,0.3646951743,105.1995847825,10.4784920377,102.4914277612,102.4914277612
16,0.3236666105,94.2610312495,9.5300317259,89.7634249305,89.7634249305
17,0.3709717088,97.999075432,12.3357542225,96.2323268676,96.2323268676
18,0.3155897132,91.2090032008,10.7684735155,87.0393999211,87.0393999211
19,0.4097176992,104.0455415267,10.835817346,102.7879728705,102.7879728705
20,0.4099064891,99.2477801919,8.5770410669,97.7820075043,97.7820075043
21,0.327652785,107.6231660585,8.5563215939,101.4147930439,101.4147930439
22,0.3514083155,102.0258988747,9.6844078352,98.6258927867,98.6258927867
23,0.3803925434,104.6462379322,12.3214085169,102.8931388131,102.8931388131
24,0.3760386462,95.1247723309,9.4382024077,93.0649698103,93.0649698103
25,0.3150735937,107.6181884785,9.4331671652,100.831932547,100.831932547
26,0.3470490475,105.9944209543,9.2765370093,101.8767447351,101.8767447351
27,0.3376663655,85.2697098752,8.917521381,82.103127347,82.103127347
28,0.3261550707,103.3260879081,11.1934932724,98.9168805885,98.9168805885
29,0.3492243938,102.0909142336,10.1679693685,98.7484976831,98.7484976831
30,0.3955591268,107.1468415899,10.2736933154,105.3743450618,105.3743450618
31,0.3075403393,107.2270825148,10.381047128,100.3951397307,100.3951397307
32,0.4015315451,99.7607472586,11.9531009245,98.5865461665,98.5865461665
33,0.3349271937,112.7444833141,10.1151189726,107.6061165787,107.6061165787
34,0.3283167016,90.9724170177,9.8489694485,87.2143422444,87.2143422444
35,0.4097794831,106.5309959729,10.6888838643,105.190818269,105.190818269
36,0.2502133519,105.6877136366,10.5558524109,90.7578324333,90.7578324333
37,0.3269030961,94.9809250706,9.9976895482,90.8485816917,90.8485816917
38,0.4224448031,91.5591944046,9.5721949653,90.6582588679,90.6582588679
39,0.4071949595,96.4307936046,9.6357485241,95.1614183495,95.1614183495
40,0.3541066066,90.0696849869,10.2199454302,87.6970804792,87.6970804792
41,0.2991960609,107.0815864829,10.0031808228,99.0669105416,99.0669105416
42,0.4459041216,102.2467241082,11.3656894904,101.5991219456,101.5991219456
43,0.2952629132,99.0228852518,10.323145654,92.0047207648,92.0047207648
44,0.4233202786,86.5526724958,10.9906196798,85.8771672281,85.8771672281
45,0.3748368686,112.2683695659,10.7123855181,109.6841472801,109.6841472801
46,0.3521869898,95.8268027967,8.7518202822,92.5392324861,92.5392324861
47,0.3582077561,98.466425848,12.0202673381,96.2224126944,96.2224126944
48,0.3243369572,102.5631347616,8.4309985803,96.552785628,96.552785628
49,0.3333905717,102.0891830407,10.8239600125,98.0993889645,98.0993889645
50,0.4108202708,99.6468145894,8.8827551209,98.2439987642,98.2439987642
51,0.3692297168,104.1358967873,10.4916583428,101.6689797344,101.6689797344
52,0.3205879166,109.0670751807,10.0878959109,103.0796097698,103.0796097698
53,0.3793926341,110.1925859208,10.6092723206,107.8535051471,107.8535051471
54,0.3620336732,117.2223618808,10.243703041,113.6035624864,113.6035624864
55,0.3375695022,100.8957363007,11.4827686684,97.4715405801,97.4715405801
56,0.3549859244,104.1550212411,11.1957314403,101.28367903,101.28367903
57,0.3284599384,86.187441846,10.2994231522,82.9955957169,82.9955957169
58,0.3596488614,95.1359185715,10.871086381,92.8551400108,92.8551400108
59,0.3755178298,92.0400606272,10.518218444,90.3191958804,90.3191958804
60,0.3417635917,88.1357978383,10.4529502331,85.4565376829,85.4565376829
61,0.3481009857,94.0377368065,10.5229455869,91.2763271027,91.2763271027
62,0.3704999174,95.3797025284,10.4003521905,93.3479397532,93.3479397532
63,0.3926327273,94.2986669145,10.3808900274,92.894821531,92.894821531
64,0.3501157415,118.1280824852,8.1376970292,112.5148908638,112.5148908638
65,0.3792019251,97.5500398418,9.8998024512,95.588631697,95.588631697
66,0.429866737,99.9314147899,12.2409437038,99.199221442,99.199221442
67,0.3314297855,102.8040963308,9.5091524983,98.0176776966,98.0176776966
68,0.3209911035,100.4998650116,9.7174284747,95.2649573419,95.2649573419
69,0.3585046465,83.1597770582,12.0024676886,81.5984797227,81.5984797227
70,0.3429861298,113.9432440499,8.9928878739,108.6953624728,108.6953624728
71,0.3622864996,125.3195368118,9.1302708169,120.6550546082,120.6550546082
72,0.2871974095,95.6279237173,10.4724884273,88.3699545918,88.3699545918
73,0.3791202817,110.3229335042,9.7429876016,107.741826212,107.741826212
74,0.2827054681,96.5197615642,11.2402226948,89.1766162421,89.1766162421
75,0.3695578314,84.344489717,9.9649484883,82.6756853539,82.6756853539
76,0.4087230598,117.0123850956,10.5616866388,115.3325431428,115.3325431428
